Majority.protein.IDs,Fasta.headers,Score,id,uniprot_id,gene_symbol,description,WT_1,WT_2,WT_3,hnox_1,hnox_2,hnox_3,dgc_1,dgc_2,dgc_3,logFC_hnox_vs_WT,CI.L_hnox_vs_WT,CI.R_hnox_vs_WT,average_intensity_hnox_vs_WT,t_hnox_vs_WT,B_hnox_vs_WT,P.Value_hnox_vs_WT,adj.P.Val_hnox_vs_WT,sig.PVal_hnox_vs_WT,sig.FDR_hnox_vs_WT,logFC_dgc_vs_WT,CI.L_dgc_vs_WT,CI.R_dgc_vs_WT,average_intensity_dgc_vs_WT,t_dgc_vs_WT,B_dgc_vs_WT,P.Value_dgc_vs_WT,adj.P.Val_dgc_vs_WT,sig.PVal_dgc_vs_WT,sig.FDR_dgc_vs_WT,logFC_dgc_vs_hnox,CI.L_dgc_vs_hnox,CI.R_dgc_vs_hnox,average_intensity_dgc_vs_hnox,t_dgc_vs_hnox,B_dgc_vs_hnox,P.Value_dgc_vs_hnox,adj.P.Val_dgc_vs_hnox,sig.PVal_dgc_vs_hnox,sig.FDR_dgc_vs_hnox
A1B2V7,tr|A1B2V7|A1B2V7_PARDP Short-chain dehydrogenase/reductase SDR OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1754 PE=4 SV=1,49.636,860,A1B2V7,Pden_1754,Short-chain dehydrogenase/reductase SDR,20.41831618,20.45331393,20.43354519,20.4284012,20.47922384,20.51709221,20.37471148,20.25246008,20.08606236,0.039847315,-0.129519746,0.209214375,20.38256961,0.537315007,-7.195349679,0.604871413,0.783048335,0,0,-0.197313795,-0.366680855,-0.027946735,20.38256961,-2.660647619,-3.964345749,0.027381509,0.132945012,0,0,-0.23716111,-0.40652817,-0.06779405,20.38256961,-3.197962626,-3.848300563,0.011740837,0.053211411,0,0
A1B2V8,tr|A1B2V8|A1B2V8_PARDP 16S rRNA m(2)G 1207 methyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1755 PE=4 SV=1,92.724,861,A1B2V8,Pden_1755,16S rRNA m(2)G 1207 methyltransferase,21.73664378,21.77113786,21.71165491,21.71526961,21.72246401,21.51394044,21.51378755,21.69815691,21.72806232,-0.089254162,-0.270534928,0.092026604,21.67901304,-1.124438246,-6.697463953,0.291672651,0.527063281,0,0,-0.093143259,-0.274424025,0.088137507,21.67901304,-1.17343371,-6.088488479,0.272552228,0.46413129,0,0,-0.003889097,-0.185169863,0.177391669,21.67901304,-0.048995465,-7.582031395,0.962058337,0.978770831,0,0
A1B2V9,tr|A1B2V9|A1B2V9_PARDP ATP-dependent Clp protease adapter protein ClpS OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=clpS PE=3 SV=1,21.59,862,A1B2V9,clpS,ATP-dependent Clp protease adapter protein ClpS,19.00165576,19.0549319,19.03733674,19.01206007,18.98927849,19.0900918,18.91178381,19.05725375,19.13574434,-0.000831345,-0.152736166,0.151073475,19.03223741,-0.012498812,-7.353316561,0.990316981,0.995861869,0,0,0.003619169,-0.148285651,0.155523989,19.03223741,0.054412186,-6.790588378,0.95786807,0.975740773,0,0,0.004450514,-0.147454306,0.156355335,19.03223741,0.066910998,-7.580874005,0.948204733,0.970300437,0,0
A1B2W0,tr|A1B2W0|A1B2W0_PARDP Serine-type D-Ala-D-Ala carboxypeptidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1757 PE=3 SV=1,69.979,863,A1B2W0,Pden_1757,Serine-type D-Ala-D-Ala carboxypeptidase,19.38844315,19.55731485,19.46478234,19.47053544,19.61465269,19.76745388,19.54227099,19.55307156,19.60070418,0.147367222,-0.037931296,0.33266574,19.55102545,1.816300948,-5.803287089,0.104772633,0.289823495,0,0,0.095168799,-0.09012972,0.280467317,19.55102545,1.172955404,-6.089020449,0.272733874,0.464147224,0,0,-0.052198423,-0.237496942,0.133100095,19.55102545,-0.643345545,-7.358058559,0.537020651,0.685559241,0,0
A1B2W1,"tr|A1B2W1|A1B2W1_PARDP Transcriptional regulator, AsnC family OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1758 PE=4 SV=1",20.586,864,A1B2W1,Pden_1758,"Transcriptional regulator, AsnC family",15.68279718,15.85863196,15.79425698,15.57171883,15.67551402,15.49701186,16.22331251,15.73298812,15.71336402,-0.197147139,-0.502207089,0.107912811,15.74995505,-1.481035,-6.267929422,0.175542293,0.387949908,0,0,0.111326175,-0.193733775,0.416386125,15.74995505,0.836319321,-6.420838479,0.426403854,0.60325036,0,0,0.308473314,0.003413364,0.613533264,15.74995505,2.31735432,-5.270931714,0.048009095,0.14244108,0,0
A1B2W2,"tr|A1B2W2|A1B2W2_PARDP Transcriptional regulator, AsnC family OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1759 PE=4 SV=1",5.8861,865,A1B2W2,Pden_1759,"Transcriptional regulator, AsnC family",13.74987099,14.0878715,13.88851463,13.69464032,14.20342757,13.92349809,13.71942548,14.05366411,13.83091024,0.031769618,-0.304024144,0.36756338,13.9057581,0.216820036,-7.327245292,0.83358529,0.923767492,0,0,-0.040752427,-0.376546189,0.295041335,13.9057581,-0.278125553,-6.749620199,0.787721621,0.872640115,0,0,-0.072522046,-0.408315807,0.263271716,13.9057581,-0.494945589,-7.448457034,0.633478646,0.758822353,0,0
A1B2W3,sp|A1B2W3|ILVC_PARDP Ketol-acid reductoisomerase (NADP(+)) OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=ilvC PE=3 SV=1,45.498,866,A1B2W3,ilvC,Ketol-acid reductoisomerase (NADP(+)),21.51513063,21.19224272,21.53958473,21.09685438,21.23302029,21.01701172,21.06131649,20.96869813,21.24859545,-0.300023897,-0.559021919,-0.041025874,21.2080505,-2.646908985,-4.51616451,0.0280616,0.127699241,0,0,-0.322782667,-0.581780689,-0.063784645,21.2080505,-2.847694304,-3.669211791,0.020404576,0.119499841,0,0,-0.02275877,-0.281756793,0.236239252,21.2080505,-0.200785319,-7.560936682,0.845617574,0.913060154,0,0
A1B2W6,tr|A1B2W6|A1B2W6_PARDP Nucleoside ABC transporter ATP-binding protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1763 PE=4 SV=1,8.6888,867,A1B2W6,Pden_1763,Nucleoside ABC transporter ATP-binding protein,14.20773908,14.26733953,14.06026581,13.81644842,14.16569282,14.07107617,14.62999996,14.0614721,14.09806431,-0.160709002,-0.523656332,0.202238328,14.15312202,-1.014744334,-6.811903836,0.338902152,0.574803164,0,0,0.084730648,-0.278216682,0.447677978,14.15312202,0.535003915,-6.636543207,0.60668452,0.748698166,0,0,0.24543965,-0.11750768,0.60838698,14.15312202,1.549748249,-6.404994632,0.158451587,0.307542201,0,0
A1B2W9,tr|A1B2W9|A1B2W9_PARDP Nucleoside-binding protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1766 PE=4 SV=1,197.93,868,A1B2W9,Pden_1766,Nucleoside-binding protein,24.73503208,24.7963263,24.80546106,24.89842152,24.86065326,24.96962745,25.09380151,25.04700979,24.83244439,0.130627594,-0.040357488,0.301612676,24.89319748,1.744759478,-5.906345493,0.117076868,0.308571966,0,0,0.212145418,0.041160336,0.3831305,24.89319748,2.833572277,-3.68997531,0.020801256,0.120174624,0,0,0.081517824,-0.089467258,0.252502906,24.89319748,1.088812798,-6.964781227,0.306235061,0.478536691,0,0
A1B2X0,"tr|A1B2X0|A1B2X0_PARDP Ferritin, Dps family protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1767 PE=3 SV=1",60.12,869,A1B2X0,Pden_1767,"Ferritin, Dps family protein",21.02796853,20.95538396,21.10142413,21.37163689,21.42211706,21.3498343,20.76058826,20.94079114,20.83861138,0.352937208,0.205340169,0.500534246,21.08537285,5.461081546,-0.275191437,0.000493053,0.01175474,0,0,-0.181595282,-0.329192321,-0.033998244,21.08537285,-2.809867089,-3.727615919,0.02159774,0.121724501,0,0,-0.53453249,-0.682129528,-0.386935452,21.08537285,-8.270948635,2.766131048,2.44E-05,0.000825727,0,0
A1B2X1,sp|A1B2X1|ACP_PARDP Acyl carrier protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=acpP PE=3 SV=1,20.486,870,A1B2X1,acpP,Acyl carrier protein,24.46688575,24.68314828,24.37885024,24.55051946,24.46471622,24.74083455,24.66629262,24.85882708,24.58032397,0.075728651,-0.175019872,0.326477174,24.59893313,0.689928174,-7.095552774,0.50872469,0.7179174,0,0,0.192186465,-0.058562057,0.442934988,24.59893313,1.750920627,-5.350686501,0.116028352,0.282558419,0,0,0.116457814,-0.134290708,0.367206337,24.59893313,1.060992453,-6.994070709,0.318048565,0.488896564,0,0
A1B2X2,tr|A1B2X2|A1B2X2_PARDP 3-oxoacyl-[acyl-carrier-protein] reductase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1769 PE=3 SV=1,115.64,871,A1B2X2,Pden_1769,3-oxoacyl-[acyl-carrier-protein] reductase,22.72319512,22.80123992,22.69756181,22.74049827,22.81445766,22.91003259,22.48291851,22.857717,22.63795461,0.080997223,-0.13582504,0.297819486,22.7406195,0.853149452,-6.964689646,0.417041912,0.644214971,0,0,-0.081135576,-0.297957838,0.135686687,22.7406195,-0.85460673,-6.405631611,0.416278265,0.594897658,0,0,-0.162132799,-0.378955061,0.054689464,22.7406195,-1.707756182,-6.186444603,0.123955782,0.263514037,0,0
A1B2X3,tr|A1B2X3|A1B2X3_PARDP Malonyl CoA-acyl carrier protein transacylase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1770 PE=3 SV=1,76.941,872,A1B2X3,Pden_1770,Malonyl CoA-acyl carrier protein transacylase,23.58622852,23.51734997,23.5212133,23.54800171,23.50049681,23.5220811,23.67234382,23.53817175,23.57646526,-0.018070721,-0.141323004,0.105181561,23.55359469,-0.334841577,-7.291390563,0.745884432,0.868747367,0,0,0.054063015,-0.069189267,0.177315298,23.55359469,1.001761074,-6.268972844,0.344207908,0.529278598,0,0,0.072133737,-0.051118546,0.195386019,23.55359469,1.336602651,-6.679715052,0.2161317,0.377355022,0,0
A1B2X5,tr|A1B2X5|A1B2X5_PARDP Beta-lactamase domain protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1772 PE=4 SV=1,91.172,873,A1B2X5,Pden_1772,Beta-lactamase domain protein,19.61399516,19.66736854,19.67835709,19.77147164,19.77521636,19.71245962,19.73747164,19.62622284,19.6592883,0.099808946,-0.019545341,0.219163234,19.69353902,1.90981063,-5.665913032,0.090515317,0.26591959,0,0,0.02108733,-0.098266957,0.140441618,19.69353902,0.403498978,-6.703196109,0.696573712,0.813424179,0,0,-0.078721616,-0.198075903,0.040632672,19.69353902,-1.506311651,-6.46273788,0.168326178,0.319292409,0,0
A1B2Y1,tr|A1B2Y1|A1B2Y1_PARDP Bcr/CflA family efflux transporter OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1778 PE=3 SV=1,6.6649,874,A1B2Y1,Pden_1778,Bcr/CflA family efflux transporter,12.72229757,11.42933804,11.56308364,12.36113974,11.94555102,12.32639451,11.68178749,11.95286572,11.96108769,0.306122007,-0.402415591,1.014659605,11.99372727,0.990128789,-6.836454986,0.350104297,0.586555334,0,0,-0.039659452,-0.74819705,0.668878147,11.99372727,-0.128275537,-6.783126784,0.900985884,0.945929841,0,0,-0.345781459,-1.054319057,0.362756139,11.99372727,-1.118404326,-6.932406933,0.294727557,0.466781915,0,0
A1B2Y2,tr|A1B2Y2|A1B2Y2_PARDP Uncharacterized conserved protein UCP032025 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1779 PE=4 SV=1,58.695,875,A1B2Y2,Pden_1779,Uncharacterized conserved protein UCP032025,19.5893025,19.64904033,19.60005593,19.66486794,19.61546455,19.69409065,20.04343049,19.67888645,19.75242152,0.04534146,-0.160108815,0.250791736,19.69861782,0.504019845,-7.21405208,0.627091074,0.799518861,0,0,0.212113233,0.006662958,0.417563509,19.69861782,2.357870215,-4.440916416,0.044417792,0.166790999,0,0,0.166771773,-0.038678502,0.372222048,19.69861782,1.85385037,-5.975592321,0.098810027,0.227711047,0,0
A1B2Y3,"tr|A1B2Y3|A1B2Y3_PARDP Efflux transporter, RND family, MFP subunit OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1780 PE=3 SV=1",200.54,876,A1B2Y3,Pden_1780,"Efflux transporter, RND family, MFP subunit",22.81140103,22.7963592,22.81272614,22.86130789,22.76335705,22.85351949,22.92087343,22.85013893,22.85124495,0.019232684,-0.096634367,0.135099736,22.83565868,0.379086922,-7.274066014,0.713948118,0.851562977,0,0,0.06725698,-0.048610072,0.183124031,22.83565868,1.325672552,-5.911603508,0.219576415,0.410069997,0,0,0.048024296,-0.067842756,0.163891347,22.83565868,0.946585631,-7.108505994,0.370061748,0.544240432,0,0
A1B2Y9,tr|A1B2Y9|A1B2Y9_PARDP Response regulator receiver protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1786 PE=4 SV=1,32.919,877,A1B2Y9,Pden_1786,Response regulator receiver protein,16.7811246,16.87029011,16.75411448,17.10708177,16.80605072,17.06752489,16.90952219,16.96088806,16.92946322,0.191709398,0.004293976,0.379124819,16.90956223,2.336129631,-5.010692265,0.045988869,0.176453388,0,0,0.131448094,-0.055967328,0.318863515,16.90956223,1.601798296,-5.556965898,0.14576061,0.322132144,0,0,-0.060261304,-0.247676725,0.127154117,16.90956223,-0.734331335,-7.291894972,0.482572991,0.641683927,0,0
A1B2Z3,sp|A1B2Z3|IF1_PARDP Translation initiation factor IF-1 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=infA PE=3 SV=1,35.212,878,A1B2Z3,infA,Translation initiation factor IF-1,23.74280023,23.5984188,23.66460871,23.55270868,23.50520436,23.58195776,23.85294551,23.72594915,23.78470957,-0.121985645,-0.257673978,0.013702687,23.66770031,-2.05317082,-5.450215734,0.072187767,0.23402388,0,0,0.119258835,-0.016429497,0.254947168,23.66770031,2.007275201,-4.977384651,0.077627765,0.225384545,0,0,0.241244481,0.105556149,0.376932813,23.66770031,4.060446021,-2.489456051,0.003220478,0.023013174,0,0
A1B2Z5,tr|A1B2Z5|A1B2Z5_PARDP Ribonuclease OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1792 PE=4 SV=1,15.436,880,A1B2Z5,Pden_1792,Ribonuclease,16.39618208,16.40316702,16.27009438,16.00590304,16.19919257,15.4983236,15.65748848,15.84853392,16.1952219,-0.455341427,-0.887994993,-0.022687861,16.05267855,-2.41188676,-4.896795074,0.041328257,0.165928949,0,0,-0.456066394,-0.88871996,-0.023412828,16.05267855,-2.415726823,-4.356630733,0.041077458,0.159226866,0,0,-0.000724968,-0.433378533,0.431928598,16.05267855,-0.003840062,-7.583361502,0.997026811,0.998138324,0,0
A1B2Z9,tr|A1B2Z9|A1B2Z9_PARDP GCN5-related N-acetyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1796 PE=4 SV=1,38.456,881,A1B2Z9,Pden_1796,GCN5-related N-acetyltransferase,19.40197067,19.43221712,19.35742876,19.32828299,19.36192562,19.47766769,19.36508303,19.49192997,19.49538765,-0.007913418,-0.150405894,0.134579058,19.41243261,-0.126832636,-7.34445563,0.902031557,0.959384997,0,0,0.053594698,-0.088897778,0.196087174,19.41243261,0.858991273,-6.401818255,0.413986565,0.593865711,0,0,0.061508115,-0.080984361,0.204000592,19.41243261,0.985823909,-7.070434848,0.35153228,0.52554271,0,0
A1B301,"tr|A1B301|A1B301_PARDP Sulfate ABC transporter, periplasmic sulfate-binding protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1798 PE=3 SV=1",45.009,882,A1B301,Pden_1798,"Sulfate ABC transporter, periplasmic sulfate-binding protein",20.59738559,20.53281817,20.4456734,20.4948499,20.42017467,20.46942065,20.64051771,20.57826309,20.65785932,-0.063810642,-0.194024229,0.066402944,20.53744028,-1.119169011,-6.703191458,0.293791249,0.529413795,0,0,0.100254325,-0.029959262,0.230467911,20.53744028,1.758351413,-5.340083238,0.114640268,0.281275849,0,0,0.164064967,0.033851381,0.294278553,20.53744028,2.877520424,-4.366253045,0.019403463,0.076310847,0,0
A1B304,tr|A1B304|A1B304_PARDP Heat shock protein DnaJ domain protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1801 PE=4 SV=1,12.849,883,A1B304,Pden_1801,Heat shock protein DnaJ domain protein,16.0847462,16.07450757,15.96550744,16.00462624,16.08509078,16.02233575,16.50085896,16.03476908,15.80079176,-0.004236141,-0.352861816,0.344389534,16.06369264,-0.027846528,-7.352970861,0.978442739,0.992815344,0,0,0.070552864,-0.278072811,0.41917854,16.06369264,0.463783527,-6.674736478,0.654728022,0.78777905,0,0,0.074789005,-0.27383667,0.42341468,16.06369264,0.491630056,-7.4502328,0.635722955,0.76015874,0,0
A1B305,tr|A1B305|A1B305_PARDP AAA+ family ATPase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1802 PE=4 SV=1,2.6567,884,A1B305,Pden_1802,AAA+ family ATPase,10.46728598,NA,10.21025114,11.12569689,10.61075873,10.70402297,10.56987546,10.43166082,9.561450349,0.474724305,-0.235492116,1.184940726,10.46012529,1.567616422,-6.045208061,0.159219212,0.365823217,0,0,-0.15110635,-0.861322771,0.559110071,10.46012529,-0.498977604,-6.545181557,0.632485042,0.773060383,0,0,-0.625830655,-1.261067534,0.009406223,10.46012529,-2.310522361,-5.313336715,0.052674061,0.151444951,0,0
A1B306,"tr|A1B306|A1B306_PARDP Glycosyl transferase, group 1 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1803 PE=4 SV=1",89.077,885,A1B306,Pden_1803,"Glycosyl transferase, group 1",19.17044902,19.36960138,19.29935102,19.2677136,19.17099123,18.86935439,19.26432203,19.27306306,19.20123075,-0.177114064,-0.410880473,0.056652346,19.20956405,-1.73033344,-5.926894827,0.119715515,0.312433053,0,0,-0.033595189,-0.267361599,0.200171221,19.20956405,-0.328211537,-6.733127362,0.75071678,0.849404034,0,0,0.143518875,-0.090247535,0.377285284,19.20956405,1.402121903,-6.597844275,0.196436949,0.351162004,0,0
A1B307,tr|A1B307|A1B307_PARDP ABC transporter related protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1804 PE=4 SV=1,5.807,886,A1B307,Pden_1804,ABC transporter related protein,13.22202836,12.55870182,12.64856965,12.906156,12.81498805,12.4508808,12.78388823,12.6669806,12.8943704,-0.085758328,-0.508039093,0.336522438,12.77184043,-0.465409282,-7.234092289,0.653610923,0.813814801,0,0,-0.028020199,-0.450300964,0.394260566,12.77184043,-0.152065239,-6.779445299,0.882768406,0.932650503,0,0,0.057738129,-0.364542636,0.480018894,12.77184043,0.313344043,-7.528823199,0.761752029,0.851165478,0,0
A1B309,tr|A1B309|A1B309_PARDP Binding-protein-dependent transport systems inner membrane component OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1806 PE=3 SV=1,5.5063,887,A1B309,Pden_1806,Binding-protein-dependent transport systems inner membrane component,12.87358572,12.77022458,12.5173029,12.34437326,12.86152529,12.29393555,12.03658093,12.20417723,12.40170066,-0.220426368,-0.606418431,0.165565694,12.47815623,-1.308715386,-6.484902121,0.225715911,0.455769228,0,0,-0.506218128,-0.89221019,-0.120226065,12.47815623,-3.005518158,-3.430430507,0.016238585,0.107973224,0,0,-0.285791759,-0.671783822,0.100200303,12.47815623,-1.696802772,-6.202732918,0.126818505,0.26712201,0,0
A1B310,"tr|A1B310|A1B310_PARDP Extracellular solute-binding protein, family 5 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1807 PE=3 SV=1",193.96,888,A1B310,Pden_1807,"Extracellular solute-binding protein, family 5",22.06408826,22.10979305,22.07106523,22.08033863,22.15765431,22.23176012,22.3058638,22.16197287,22.12070899,0.074935506,-0.07518106,0.225052071,22.14480503,1.140034207,-6.680395456,0.285473239,0.520341615,0,0,0.114533039,-0.035583526,0.264649605,22.14480503,1.742452813,-5.362550947,0.117495122,0.28485173,0,0,0.039597534,-0.110519032,0.189714099,22.14480503,0.602418606,-7.385238506,0.56266832,0.705692948,0,0
A1B311,"tr|A1B311|A1B311_PARDP Cytochrome c, class I OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1808 PE=4 SV=1",38.496,889,A1B311,Pden_1808,"Cytochrome c, class I",23.0731108,23.12972618,23.02952342,23.04401056,23.05991812,23.2224117,22.78810861,23.07080182,22.76446267,0.031326661,-0.177230235,0.239883556,23.02023043,0.34304288,-7.288336781,0.739923238,0.86592233,0,0,-0.202995761,-0.411552656,0.005561134,23.02023043,-2.22290691,-4.650092571,0.055105476,0.186734782,0,0,-0.234322422,-0.442879317,-0.025765527,23.02023043,-2.56594979,-4.869395658,0.031847934,0.107516708,0,0
A1B312,tr|A1B312|A1B312_PARDP prephenate dehydratase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1809 PE=4 SV=1,112.73,890,A1B312,Pden_1809,prephenate dehydratase,21.040014,21.05273489,21.03778097,21.0572749,21.1388323,20.99974919,20.89656817,20.9238391,20.82583838,0.021775513,-0.103679175,0.147230201,20.9969591,0.396406129,-7.266719093,0.701602945,0.845672767,0,0,-0.161428073,-0.28688276,-0.035973385,20.9969591,-2.938671406,-3.523115047,0.017617552,0.111412404,0,0,-0.183203585,-0.308658273,-0.057748898,20.9969591,-3.335077534,-3.627947743,0.009499257,0.046360506,0,0
A1B313,tr|A1B313|A1B313_PARDP SRPBCC family protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1810 PE=4 SV=1,101.05,891,A1B313,Pden_1810,SRPBCC family protein,21.09522004,21.02263131,21.13953317,21.07096411,21.03663251,21.13424423,21.07512871,21.06698538,21.12687412,-0.005181221,-0.128931183,0.118568741,21.08535707,-0.09561938,-7.348315741,0.926046036,0.968465846,0,0,0.003867897,-0.119882065,0.127617859,21.08535707,0.071382003,-6.789410352,0.944750123,0.968845387,0,0,0.009049119,-0.114700843,0.132799081,21.08535707,0.167001383,-7.567844322,0.871286323,0.929970426,0,0
A1B315,tr|A1B315|A1B315_PARDP PfkB domain protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1812 PE=4 SV=1,21.835,892,A1B315,Pden_1812,PfkB domain protein,15.04042021,14.99907212,15.18566096,15.30082518,15.0845194,15.18150286,15.23992596,15.12807923,15.15425584,0.113898051,-0.059027362,0.286823464,15.14602908,1.504237221,-6.237390167,0.16884926,0.37882221,0,0,0.099035914,-0.073889499,0.271961327,15.14602908,1.307954853,-5.932935173,0.225259307,0.415081103,0,0,-0.014862137,-0.18778755,0.158063276,15.14602908,-0.196282367,-7.561936228,0.849015857,0.915166159,0,0
A1B316,sp|A1B316|PSUG_PARDP Pseudouridine-5-phosphate glycosidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=psuG PE=3 SV=1,113.62,893,A1B316,psuG,Pseudouridine-5-phosphate glycosidase,19.37945468,19.34926929,19.34641958,19.33525181,19.41496137,19.45013167,19.36665945,19.2937841,19.29756908,0.041733767,-0.076912458,0.160379992,19.35927789,0.803327291,-7.007181125,0.44373691,0.663757488,0,0,-0.03904364,-0.157689865,0.079602585,19.35927789,-0.751545417,-6.490456598,0.472682481,0.639260343,0,0,-0.080777407,-0.199423632,0.037868818,19.35927789,-1.554872708,-6.397851601,0.156486372,0.305267405,0,0
A1B318,tr|A1B318|A1B318_PARDP Peptide chain release factor 2 OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=prfB PE=3 SV=1,104.67,894,A1B318,prfB,Peptide chain release factor 2,23.38931856,23.45740856,23.44985267,23.44964504,23.50468713,23.40840759,23.36261532,23.48898418,23.46404755,0.022053325,-0.10566601,0.14977266,23.44166296,0.394344951,-7.267610049,0.703067361,0.845672767,0,0,0.006355753,-0.121363583,0.134075088,23.44166296,0.113649938,-6.785096983,0.912162468,0.9498901,0,0,-0.015697572,-0.143416907,0.112021763,23.44166296,-0.280695013,-7.539640537,0.785677357,0.869246324,0,0
A1B319,tr|A1B319|A1B319_PARDP Penicillin-binding protein 1A OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1816 PE=3 SV=1,4.077,895,A1B319,Pden_1816,Penicillin-binding protein 1A,15.23368919,14.91255869,14.29239465,14.77419597,15.33200736,15.26293589,15.24682754,15.19488001,14.47494993,0.310165565,-0.35128676,0.971617891,14.96938214,1.074620373,-6.750247685,0.312799796,0.549461012,0,0,0.159338316,-0.502114009,0.820790642,14.96938214,0.552054193,-6.626644229,0.595464817,0.741953108,0,0,-0.150827249,-0.812279574,0.510625077,14.96938214,-0.522566179,-7.433227889,0.614939401,0.745230205,0,0
A1B320,tr|A1B320|A1B320_PARDP N-acetylmuramoyl-L-alanine amidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1817 PE=4 SV=1,77.168,896,A1B320,Pden_1817,N-acetylmuramoyl-L-alanine amidase,20.08183518,20.0621775,19.96187204,20.00052662,19.94177418,20.07905663,20.07960086,20.06100599,20.13358138,-0.028175768,-0.162470485,0.106118949,20.04460338,-0.479154633,-7.227284065,0.643952364,0.809886142,0,0,0.056101167,-0.07819355,0.190395885,20.04460338,0.954051522,-6.315198863,0.36648161,0.546864329,0,0,0.084276935,-0.050017782,0.218571653,20.04460338,1.433206154,-6.55814787,0.187649212,0.34203449,0,0
A1B321,tr|A1B321|A1B321_PARDP Aminotransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1818 PE=3 SV=1,101.29,897,A1B321,Pden_1818,Aminotransferase,21.15865322,21.13324545,21.18689375,21.33067162,21.11773826,21.05409671,20.41870854,21.00624206,21.31748632,0.007904721,-0.442955684,0.458765127,21.0804151,0.040179496,-7.352502779,0.9689001,0.990218843,0,0,-0.245451834,-0.696312239,0.205408572,21.0804151,-1.247625436,-6.003717632,0.246229862,0.436203375,0,0,-0.253356555,-0.70421696,0.197503851,21.0804151,-1.287804932,-6.738652954,0.232569222,0.398816986,0,0
A1B322,tr|A1B322|A1B322_PARDP DSBA oxidoreductase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_1819 PE=4 SV=1,165.74,898,A1B322,Pden_1819,DSBA oxidoreductase,22.57304975,22.55189586,22.46429329,22.5138692,22.52243857,22.62215576,22.43226942,22.43458374,22.31981702,0.023074876,-0.114084314,0.160234067,22.49270807,0.384214129,-7.271924027,0.710283966,0.849691387,0,0,-0.134189571,-0.271348761,0.002969619,22.49270807,-2.23435775,-4.632455114,0.054107737,0.184514232,0,0,-0.157264447,-0.294423638,-0.020105257,22.49270807,-2.618571879,-4.784730505,0.02928182,0.101264729,0,0
